mIoU_val,mIoU_val_dummy,epoch,lr_0,loss_train_total,loss_train_full_size,loss_train_down_1,time_training,time_validation,time_confusion_matrix,time_forward,time_post_processing,time_copy_to_gpu,IoU_val_class_0,IoU_val_class_1,IoU_val_class_2,IoU_val_class_3,IoU_val_class_4,IoU_val_class_5,IoU_val_class_6,IoU_val_class_7,IoU_val_class_8,IoU_val_class_9,IoU_val_class_10,loss_val,loss_val_unweighted
0.07716477669949026,0.07716477669949026,0,0.00019999999999999966,7.218663430749884,1.379744611241628,2.039527160887143,6.787988901138306,2.777386426925659,0.5951018333435059,0.16760706901550293,0.363506555557251,0.02051234245300293,0.8488125436943929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017507225391302,0.8685485193633363
0.0500533489406346,0.0500533489406346,1,0.00020493105739919238,3.013984303089162,0.7995915225259794,0.919156507036458,5.4802024364471436,2.631270408630371,0.5253355503082275,0.1438002586364746,0.3711726665496826,0.01675271987915039,0.4080594015134031,0.14252743683357755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011022084446303499,0.7400976115019328
0.0874426249374799,0.0874426249374799,2,0.00021970396682420915,3.3671486676174878,0.8787461334697502,0.8485993969369877,5.612260818481445,2.8147847652435303,0.5334680080413818,0.1563568115234375,0.4084157943725586,0.018738985061645508,0.726825898892731,0.23504297541954788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010211451447516139,0.6002561087616952
0.07652313786555624,0.07652313786555624,3,0.0002442580232214428,3.2965362663619167,0.956672001410379,0.7338445200945757,5.262861967086792,2.9125609397888184,0.5442450046539307,0.16244077682495117,0.41086769104003906,0.021097898483276367,0.8153827807105605,0.0263717358105582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01779596611598526,0.5446624663147589
0.01374431420960065,0.01374431420960065,4,0.0002784923287063286,2.797981995760057,0.6581154214867042,0.7402929052531037,5.352367877960205,2.699279546737671,0.5496602058410645,0.17675542831420898,0.40375566482543945,0.02147388458251953,0.0,0.15118745630560715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014478486935119984,2.252281260408361
0.06433504504135232,0.06433504504135232,5,0.0003222662071743947,3.571702916332794,0.8388505255693154,0.8954468346023083,5.562848091125488,2.619365930557251,0.48337888717651367,0.14837002754211426,0.36825084686279297,0.016365766525268555,0.6007630926957503,0.1069224027591251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01313709068134781,0.724010827218684
0.01374431420960065,0.01374431420960065,6,0.00037539978236954784,3.0044900158539614,0.6512427182350009,0.633270534240636,5.437140703201294,2.771911144256592,0.5442006587982178,0.1622450351715088,0.40474677085876465,0.01972675323486328,0.0,0.15118745630560715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013487640528536597,2.1650748392696735
0.014950185123632536,0.014950185123632536,7,0.00043767471703419405,3.141960936936721,0.7512551469283554,0.6726668472336462,5.2981297969818115,2.8393688201904297,0.5523309707641602,0.14881086349487305,0.42073917388916016,0.018140792846679688,0.011742496802654783,0.1527095395573031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010266487441169697,0.9989925968166816
0.014180737251348424,0.014180737251348424,8,0.0005088351101038653,2.9501548002432774,0.7291001377709687,0.6558174040474182,5.74603271484375,2.794858694076538,0.5222175121307373,0.16543984413146973,0.4013688564300537,0.01967310905456543,0.004805525245633524,0.15118258451919914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01027456322348768,0.9503156572028382
0.013744494809346992,0.013744494809346992,9,0.0005885885482595828,3.0388715757661955,0.702813456717069,0.7036783053763556,5.480210065841675,2.7064435482025146,0.5566451549530029,0.14971232414245605,0.42015886306762695,0.01717662811279297,1.7606526528105651e-06,0.1511876822501641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010090469737431157,0.8365643198861514
